class,n_train_pdf,n_train,train_minus_pdf,n_test
Dolichospermum-Anabaenopsis,12280.0,12280,0.0,790
Aphanizomenon_flosaquae,6989.0,6989,0.0,1849
Cryptophyceae-Teleaulax,6830.0,6830,0.0,16952
Oscillatoriales,4440.0,4440,0.0,3893
Skeletonema_marinoi,4128.0,4128,0.0,7402
Heterocapsa_triquetra,3276.0,3276,0.0,2267
Snowella-Woronichinia,2950.0,2950,0.0,42
Thalassiosira_levanderi,2537.0,2537,0.0,2008
Dolichospermum-Anabaenopsis-coiled,2504.0,2504,0.0,70
Eutreptiella_sp,2247.0,2247,0.0,1678
Dinophyceae,1433.0,1433,0.0,1562
Chaetoceros_sp,1382.0,1382,0.0,693
Pyramimonas_sp,1224.0,1224,0.0,8422
Mesodinium_rubrum,1132.0,1132,0.0,560
Peridiniella_catenata_single,899.0,899,0.0,222
Oocystis_sp,842.0,842,0.0,161
Chroococcus_small,827.0,827,0.0,2
Pennales_sp_thin,781.0,781,0.0,334
Cryptomonadales,713.0,713,0.0,525
Heterocapsa_rotundata,614.0,614,0.0,2609
Uroglenopsis_sp,516.0,516,0.0,134
Centrales_sp,480.0,480,0.0,92
Pseudopedinella_sp,379.0,379,0.0,579
Monoraphidium_contortum,327.0,327,0.0,439
Prorocentrum_cordatum,276.0,276,0.0,0
Heterocyte,263.0,263,0.0,318
Ciliata,243.0,243,0.0,288
Dinophysis_acuminata,217.0,217,0.0,17
Chaetoceros_sp_single,213.0,213,0.0,571
Pennales_sp_thick,210.0,210,0.0,1088
Cymbomonas_tetramitiformis,199.0,199,0.0,4
Peridiniella_catenata_chain,193.0,193,0.0,89
Nodularia_spumigena,169.0,169,0.0,62
Gymnodinium_like,158.0,158,0.0,102
Chroococcales,142.0,142,0.0,793
Beads,125.0,125,0.0,0
Pauliella_taeniata,119.0,119,0.0,56
Euglenophyceae,102.0,102,0.0,18
Cyclotella_choctawhatcheeana,102.0,102,0.0,199
Merismopedia_sp,98.0,98,0.0,2
Chlorococcales,95.0,95,0.0,45
Licmophora_sp,74.0,74,0.0,78
Gymnodiniales,69.0,69,0.0,38
Nitzschia_paleacea,65.0,65,0.0,4
Katablepharis_remigera,54.0,54,0.0,4
Ceratoneis_closterium,45.0,45,0.0,75
Melosira_arctica,43.0,43,0.0,58
Aphanothece_paralleliformis,29.0,29,0.0,9
Gonyaulax_verior,22.0,22,0.0,1
Amylax_triacantha,19.0,19,0.0,3
Unclassifiable,,0,,94028
