sample_id,Amylax_triacantha,Aphanizomenon_flosaquae,Aphanothece_paralleliformis,Centrales_sp,Ceratoneis_closterium,Chaetoceros_sp,Chaetoceros_sp_single,Chlorococcales,Chroococcales,Chroococcus_small,Ciliata,Cryptomonadales,Cryptophyceae-Teleaulax,Cyclotella_choctawhatcheeana,Cymbomonas_tetramitiformis,Dinophyceae,Dinophysis_acuminata,Dolichospermum-Anabaenopsis,Dolichospermum-Anabaenopsis-coiled,Euglenophyceae,Eutreptiella_sp,Gonyaulax_verior,Gymnodiniales,Gymnodinium_like,Heterocapsa_rotundata,Heterocapsa_triquetra,Heterocyte,Katablepharis_remigera,Licmophora_sp,Melosira_arctica,Merismopedia_sp,Mesodinium_rubrum,Monoraphidium_contortum,Nitzschia_paleacea,Nodularia_spumigena,Oocystis_sp,Oscillatoriales,Pauliella_taeniata,Pennales_sp_thick,Pennales_sp_thin,Peridiniella_catenata_chain,Peridiniella_catenata_single,Pseudopedinella_sp,Pyramimonas_sp,Skeletonema_marinoi,Snowella-Woronichinia,Thalassiosira_levanderi,Unclassifiable,Uroglenopsis_sp
D20210119T120754_IFCB114,0,7,0,1,0,0,2,0,1,0,0,1,75,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,22,0,0,1,0,0,0,1,0,1,0,0,19,0,0,230,0
D20210126T115652_IFCB114,0,11,0,3,0,0,2,0,2,0,0,0,93,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,17,0,0,1,0,0,0,0,0,1,0,1,1,2,2,203,0
D20210202T121139_IFCB114,0,11,0,1,0,0,0,0,7,0,0,0,139,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,35,0,0,0,0,0,0,1,1,1,0,0,8,2,0,250,0
D20210209T130733_IFCB114,0,12,0,0,0,0,1,2,1,0,1,5,155,0,0,9,0,0,0,0,1,0,0,0,2,0,0,0,0,2,0,5,68,0,0,0,0,0,0,0,0,0,0,4,11,2,5,618,0
D20210216T115258_IFCB114,0,13,0,3,0,0,1,0,5,1,1,6,117,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,60,0,0,0,0,0,1,1,2,0,0,1,19,3,8,473,0
D20210223T120558_IFCB114,0,4,0,0,0,0,10,0,0,0,0,2,76,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,5,56,0,0,0,0,0,3,1,1,0,0,6,12,4,8,537,0
D20210302T121235_IFCB114,0,1,0,3,0,0,19,0,1,0,0,5,64,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,26,0,0,1,0,0,0,0,1,0,0,1,23,1,14,368,0
D20210309T120918_IFCB114,0,1,0,1,1,5,3,0,1,0,0,1,39,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,13,7,0,0,0,0,0,2,1,0,0,0,2,21,0,28,308,0
D20210316T115215_IFCB114,0,1,0,1,0,8,15,0,0,0,0,7,50,0,0,11,0,0,0,0,8,0,0,1,0,0,0,0,2,0,0,4,3,0,0,0,0,0,7,2,0,1,0,0,43,0,31,386,0
D20210323T115123_IFCB114,0,0,0,4,2,12,17,0,0,0,0,5,40,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,2,3,0,16,3,0,0,0,0,0,11,6,2,0,1,5,51,0,87,462,0
