sample_id,timestamp,iso_year,iso_week,instrument,n_images,n_unclassifiable,n_classified,frac_unclassifiable,n_Aphanizomenon_flosaquae,ra_Aphanizomenon_flosaquae,n_Dolichospermum-Anabaenopsis,ra_Dolichospermum-Anabaenopsis,n_Dolichospermum-Anabaenopsis-coiled,ra_Dolichospermum-Anabaenopsis-coiled,n_Nodularia_spumigena,ra_Nodularia_spumigena,n_Oscillatoriales,ra_Oscillatoriales,n_Dinophysis_acuminata,ra_Dinophysis_acuminata,n_Dolichospermum_total,ra_Dolichospermum_total,n_N_fixing_filamentous_total,ra_N_fixing_filamentous_total,max_particle_index,particle_coverage,is_complete,in_main_series,n_samples_in_week
D20210119T120754_IFCB114,2021-01-19 12:07:54,2021,3,IFCB114,368,230,138,0.625,7,0.019021739130434784,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7,0.019021739130434784,381,0.9658792650918635,True,True,1
D20210126T115652_IFCB114,2021-01-26 11:56:52,2021,4,IFCB114,347,203,144,0.5850144092219021,11,0.03170028818443804,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11,0.03170028818443804,351,0.9886039886039886,True,True,1
D20210202T121139_IFCB114,2021-02-02 12:11:39,2021,5,IFCB114,463,250,213,0.5399568034557235,11,0.023758099352051837,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11,0.023758099352051837,470,0.9851063829787234,True,True,1
D20210209T130733_IFCB114,2021-02-09 13:07:33,2021,6,IFCB114,904,618,286,0.6836283185840708,12,0.01327433628318584,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,12,0.01327433628318584,910,0.9934065934065934,True,True,1
D20210216T115258_IFCB114,2021-02-16 11:52:58,2021,7,IFCB114,720,473,247,0.6569444444444444,13,0.018055555555555554,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,13,0.018055555555555554,736,0.9782608695652174,True,True,1
D20210223T120558_IFCB114,2021-02-23 12:05:58,2021,8,IFCB114,736,537,199,0.7296195652173914,4,0.005434782608695652,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,0.005434782608695652,744,0.989247311827957,True,True,1
D20210302T121235_IFCB114,2021-03-02 12:12:35,2021,9,IFCB114,539,368,171,0.6827458256029685,1,0.0018552875695732839,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0018552875695732839,546,0.9871794871794872,True,True,1
D20210309T120918_IFCB114,2021-03-09 12:09:18,2021,10,IFCB114,442,308,134,0.6968325791855203,1,0.0022624434389140274,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0022624434389140274,443,0.9977426636568849,True,True,1
D20210316T115215_IFCB114,2021-03-16 11:52:15,2021,11,IFCB114,581,386,195,0.6643717728055077,1,0.0017211703958691911,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0017211703958691911,594,0.9781144781144782,True,True,1
D20210323T115123_IFCB114,2021-03-23 11:51:23,2021,12,IFCB114,733,462,271,0.6302864938608458,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,738,0.9932249322493225,True,True,1
D20210330T120026_IFCB114,2021-03-30 12:00:26,2021,13,IFCB114,1400,807,593,0.5764285714285714,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1405,0.99644128113879,True,True,1
D20210406T120951_IFCB114,2021-04-06 12:09:51,2021,14,IFCB114,1689,695,994,0.41148608644168144,1,0.0005920663114268798,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0005920663114268798,1706,0.9900351699882767,True,True,4
D20210406T193940_IFCB114,2021-04-06 19:39:40,2021,14,IFCB114,1669,682,987,0.408627920910725,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1669,1.0,True,False,4
D20210408T003348_IFCB114,2021-04-08 00:33:48,2021,14,IFCB114,1244,527,717,0.42363344051446944,1,0.0008038585209003215,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0008038585209003215,1244,1.0,True,False,4
D20210408T224413_IFCB114,2021-04-08 22:44:13,2021,14,IFCB114,1512,713,799,0.47156084656084657,3,0.001984126984126984,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.001984126984126984,1513,0.9993390614672836,True,False,4
D20210413T120653_IFCB114,2021-04-13 12:06:53,2021,15,IFCB114,1018,550,468,0.5402750491159135,2,0.0019646365422396855,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.0019646365422396855,1037,0.9816779170684667,True,True,3
D20210416T044700_IFCB114,2021-04-16 04:47:00,2021,15,IFCB114,2326,831,1495,0.35726569217540843,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2327,0.9995702621400946,True,False,3
D20210418T115708_IFCB114,2021-04-18 11:57:08,2021,15,IFCB114,2187,777,1410,0.355281207133059,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0004572473708276177,0,0.0,0,0.0,0,0.0,2203,0.9927371765773945,True,False,3
D20210419T021349_IFCB114,2021-04-19 02:13:49,2021,16,IFCB114,2892,926,1966,0.3201936376210235,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2892,1.0,True,True,1
D20210427T121500_IFCB114,2021-04-27 12:15:00,2021,17,IFCB114,5081,1936,3145,0.3810273568195237,1,0.000196811651249754,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.000196811651249754,5095,0.997252208047105,True,True,1
D20210503T105205_IFCB114,2021-05-03 10:52:05,2021,18,IFCB114,2592,1165,1427,0.4494598765432099,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2609,0.9934840935224224,True,True,2
D20210508T060106_IFCB114,2021-05-08 06:01:06,2021,18,IFCB114,3145,1733,1412,0.551033386327504,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3153,0.9974627339042182,True,False,2
D20210511T120036_IFCB114,2021-05-11 12:00:36,2021,19,IFCB114,2474,1622,852,0.6556184316895716,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2529,0.9782522736259391,True,True,1
D20210519T120718_IFCB114,2021-05-19 12:07:18,2021,20,IFCB114,3202,1498,1704,0.4678326046221112,2,0.0006246096189881324,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.0006246096189881324,3451,0.9278470008693133,True,True,1
D20210525T115014_IFCB114,2021-05-25 11:50:14,2021,21,IFCB114,3126,1626,1500,0.5201535508637236,3,0.0009596928982725527,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.0009596928982725527,3153,0.9914367269267365,True,True,1
D20210601T120001_IFCB114,2021-06-01 12:00:01,2021,22,IFCB114,1748,1607,141,0.9193363844393593,8,0.004576659038901602,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,0.004576659038901602,1757,0.9948776323278316,True,True,1
D20210608T115904_IFCB114,2021-06-08 11:59:04,2021,23,IFCB114,2167,1702,465,0.7854176280572219,30,0.01384402399630826,0,0.0,0,0.0,0,0.0,0,0.0,2,0.0009229349330872173,0,0.0,30,0.01384402399630826,2249,0.9635393508225878,True,True,1
D20210615T114408_IFCB114,2021-06-15 11:44:08,2021,24,IFCB114,2545,1883,662,0.7398821218074656,8,0.003143418467583497,2,0.0007858546168958742,0,0.0,0,0.0,0,0.0,1,0.0003929273084479371,2,0.0007858546168958742,10,0.003929273084479371,2645,0.9621928166351607,True,True,1
D20210622T120526_IFCB114,2021-06-22 12:05:26,2021,25,IFCB114,5922,4776,1146,0.806484295845998,52,0.008780817291455589,3,0.0005065856129685917,0,0.0,1,0.00016886187098953058,0,0.0,1,0.00016886187098953058,3,0.0005065856129685917,56,0.009456264775413711,5975,0.9911297071129707,True,True,1
D20210629T115912_IFCB114,2021-06-29 11:59:12,2021,26,IFCB114,8269,7205,1064,0.8713266416737211,49,0.005925746765026001,405,0.048978111017051636,13,0.0015721368968436328,0,0.0,0,0.0,0,0.0,418,0.05055024791389527,467,0.056475994678921275,8272,0.999637330754352,True,True,1
D20210706T120205_IFCB114,2021-07-06 12:02:05,2021,27,IFCB114,8832,6307,2525,0.7141077898550725,323,0.036571557971014496,155,0.017549818840579712,1,0.00011322463768115942,0,0.0,56,0.006340579710144928,1,0.00011322463768115942,156,0.017663043478260868,479,0.05423460144927536,9432,0.9363867684478372,True,True,1
D20210713T120326_IFCB114,2021-07-13 12:03:26,2021,28,IFCB114,8762,5119,3643,0.5842273453549418,118,0.013467244921250857,6,0.0006847751654873316,1,0.00011412919424788861,0,0.0,177,0.020200867381876285,0,0.0,7,0.0007989043597352203,125,0.014266149280986077,8796,0.9961346066393816,True,True,1
D20210720T120102_IFCB114,2021-07-20 12:01:02,2021,29,IFCB114,50,0,50,0.0,50,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,50,1.0,7730,0.00646830530401035,False,False,1
D20210727T115315_IFCB114,2021-07-27 11:53:15,2021,30,IFCB114,5990,4097,1893,0.6839732888146911,512,0.08547579298831386,36,0.006010016694490818,10,0.001669449081803005,0,0.0,18,0.003005008347245409,0,0.0,46,0.007679465776293823,558,0.09315525876460767,6028,0.9936960849369608,True,True,1
D20210803T120742_IFCB114,2021-08-03 12:07:42,2021,31,IFCB114,3774,2116,1658,0.5606783253842077,14,0.0037095919448860626,5,0.0013248542660307366,1,0.00026497085320614734,1,0.00026497085320614734,57,0.015103338632750398,0,0.0,6,0.001589825119236884,21,0.005564387917329093,3816,0.9889937106918238,True,True,2
D20210806T185642_IFCB114,2021-08-06 18:56:42,2021,31,IFCB114,3512,2423,1089,0.6899202733485194,152,0.04328018223234624,12,0.003416856492027335,9,0.002562642369020501,8,0.002277904328018223,2,0.0005694760820045558,0,0.0,21,0.005979498861047836,181,0.0515375854214123,3520,0.9977272727272727,True,False,2
D20210810T023238_IFCB114,2021-08-10 02:32:38,2021,32,IFCB114,6145,4066,2079,0.6616761594792514,94,0.015296989422294549,30,0.004882017900732303,5,0.0008136696501220504,9,0.0014646053702196907,611,0.09943043124491456,2,0.00032546786004882016,35,0.005695687550854353,138,0.022457282343368593,6247,0.9836721626380662,True,False,5
D20210810T032000_IFCB114,2021-08-10 03:20:00,2021,32,IFCB114,6107,4010,2097,0.6566235467496315,88,0.014409693794006877,43,0.007041100376616997,11,0.0018012117242508596,12,0.0019649582446373015,593,0.09710168658915998,1,0.0001637465203864418,54,0.008842312100867857,154,0.025216964139512035,6195,0.9857949959644875,True,False,5
D20210810T034341_IFCB114,2021-08-10 03:43:41,2021,32,IFCB114,6134,4025,2109,0.6561786762308445,90,0.014672318226279752,38,0.006194978806651451,10,0.0016302575806977503,17,0.0027714378871861755,606,0.09879360939028367,1,0.00016302575806977502,48,0.0078252363873492,155,0.02526899250081513,6202,0.9890357949048694,True,False,5
D20210810T051824_IFCB114,2021-08-10 05:18:24,2021,32,IFCB114,6134,3992,2142,0.6507988262145419,106,0.01728073035539615,32,0.005216824258232801,5,0.0008151287903488751,11,0.0017932833387675252,528,0.08607760026084121,1,0.00016302575806977502,37,0.006031953048581676,154,0.025105966742745355,6174,0.9935212180110139,True,False,5
D20210810T120255_IFCB114,2021-08-10 12:02:55,2021,32,IFCB114,6902,4329,2573,0.6272095044914517,55,0.007968704723268617,10,0.0014488554042306578,3,0.00043465662126919734,2,0.0002897710808461316,422,0.061141698058533755,0,0.0,13,0.0018835120254998552,70,0.010141987829614604,6943,0.9940947717125163,True,True,5
D20210817T115208_IFCB114,2021-08-17 11:52:08,2021,33,IFCB114,4647,2786,1861,0.5995265762857758,8,0.0017215407789972026,11,0.0023671185711211535,0,0.0,0,0.0,598,0.1286851732300409,0,0.0,11,0.0023671185711211535,19,0.004088659350118356,4710,0.986624203821656,True,True,1
D20210824T115106_IFCB114,2021-08-24 11:51:06,2021,34,IFCB114,3329,1911,1418,0.5740462601381796,8,0.0024031240612796636,1,0.00030039050765995795,1,0.00030039050765995795,1,0.00030039050765995795,168,0.05046560528687293,0,0.0,2,0.0006007810153199159,11,0.0033042955842595375,3508,0.9489737742303307,True,True,1
D20210831T115916_IFCB114,2021-08-31 11:59:16,2021,35,IFCB114,3853,2595,1258,0.6735011679211005,6,0.0015572281339216196,1,0.0002595380223202699,0,0.0,0,0.0,49,0.012717363093693226,2,0.0005190760446405398,1,0.0002595380223202699,7,0.0018167661562418895,3924,0.9819062181447502,True,True,1
D20210907T121019_IFCB114,2021-09-07 12:10:19,2021,36,IFCB114,2806,1883,923,0.6710620099786172,1,0.0003563791874554526,0,0.0,0,0.0,0,0.0,4,0.0014255167498218105,5,0.001781895937277263,0,0.0,1,0.0003563791874554526,2812,0.9978662873399715,True,True,1
D20210914T115306_IFCB114,2021-09-14 11:53:06,2021,37,IFCB114,2391,1674,717,0.7001254705144291,1,0.0004182350480970305,0,0.0,0,0.0,0,0.0,3,0.0012547051442910915,0,0.0,0,0.0,1,0.0004182350480970305,2417,0.989242863053372,True,True,1
D20210921T115117_IFCB114,2021-09-21 11:51:17,2021,38,IFCB114,1429,1040,389,0.72778166550035,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1436,0.995125348189415,True,True,1
D20210928T120619_IFCB114,2021-09-28 12:06:19,2021,39,IFCB114,1077,808,269,0.7502321262766946,1,0.0009285051067780873,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0009285051067780873,1096,0.9826642335766423,True,True,1
D20211005T115617_IFCB114,2021-10-05 11:56:17,2021,40,IFCB114,1213,946,267,0.7798845836768343,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1227,0.9885900570497147,True,True,1
D20211026T115538_IFCB114,2021-10-26 11:55:38,2021,43,IFCB114,1073,593,480,0.5526561043802423,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1097,0.9781221513217867,True,True,1
D20211102T120611_IFCB114,2021-11-02 12:06:11,2021,44,IFCB114,985,442,543,0.44873096446700506,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,999,0.985985985985986,True,True,1
D20211109T115603_IFCB114,2021-11-09 11:56:03,2021,45,IFCB114,894,364,530,0.407158836689038,1,0.0011185682326621924,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0011185682326621924,895,0.9988826815642458,True,True,1
D20211116T121922_IFCB114,2021-11-16 12:19:22,2021,46,IFCB114,830,386,444,0.4650602409638554,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,837,0.991636798088411,True,True,1
D20211123T115459_IFCB114,2021-11-23 11:54:59,2021,47,IFCB114,541,233,308,0.43068391866913125,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,546,0.9908424908424909,True,True,1
D20211130T115335_IFCB114,2021-11-30 11:53:35,2021,48,IFCB114,453,184,269,0.40618101545253865,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,455,0.9956043956043956,True,True,1
D20211207T121839_IFCB114,2021-12-07 12:18:39,2021,49,IFCB114,348,142,206,0.40804597701149425,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,353,0.9858356940509915,True,True,1
D20211214T115350_IFCB114,2021-12-14 11:53:50,2021,50,IFCB114,408,208,200,0.5098039215686274,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,410,0.9951219512195122,True,True,1
