iso_week,n_samples,sample_ids,main_sample_id,status
1,0,,,missing
2,0,,,missing
3,1,D20210119T120754_IFCB114,D20210119T120754_IFCB114,single
4,1,D20210126T115652_IFCB114,D20210126T115652_IFCB114,single
5,1,D20210202T121139_IFCB114,D20210202T121139_IFCB114,single
6,1,D20210209T130733_IFCB114,D20210209T130733_IFCB114,single
7,1,D20210216T115258_IFCB114,D20210216T115258_IFCB114,single
8,1,D20210223T120558_IFCB114,D20210223T120558_IFCB114,single
9,1,D20210302T121235_IFCB114,D20210302T121235_IFCB114,single
10,1,D20210309T120918_IFCB114,D20210309T120918_IFCB114,single
11,1,D20210316T115215_IFCB114,D20210316T115215_IFCB114,single
12,1,D20210323T115123_IFCB114,D20210323T115123_IFCB114,single
13,1,D20210330T120026_IFCB114,D20210330T120026_IFCB114,single
14,4,D20210406T120951_IFCB114 D20210406T193940_IFCB114 D20210408T003348_IFCB114 D20210408T224413_IFCB114,D20210406T120951_IFCB114,multiple
15,3,D20210413T120653_IFCB114 D20210416T044700_IFCB114 D20210418T115708_IFCB114,D20210413T120653_IFCB114,multiple
16,1,D20210419T021349_IFCB114,D20210419T021349_IFCB114,single
17,1,D20210427T121500_IFCB114,D20210427T121500_IFCB114,single
18,2,D20210503T105205_IFCB114 D20210508T060106_IFCB114,D20210503T105205_IFCB114,multiple
19,1,D20210511T120036_IFCB114,D20210511T120036_IFCB114,single
20,1,D20210519T120718_IFCB114,D20210519T120718_IFCB114,single
21,1,D20210525T115014_IFCB114,D20210525T115014_IFCB114,single
22,1,D20210601T120001_IFCB114,D20210601T120001_IFCB114,single
23,1,D20210608T115904_IFCB114,D20210608T115904_IFCB114,single
24,1,D20210615T114408_IFCB114,D20210615T114408_IFCB114,single
25,1,D20210622T120526_IFCB114,D20210622T120526_IFCB114,single
26,1,D20210629T115912_IFCB114,D20210629T115912_IFCB114,single
27,1,D20210706T120205_IFCB114,D20210706T120205_IFCB114,single
28,1,D20210713T120326_IFCB114,D20210713T120326_IFCB114,single
29,0,,,missing
30,1,D20210727T115315_IFCB114,D20210727T115315_IFCB114,single
31,2,D20210803T120742_IFCB114 D20210806T185642_IFCB114,D20210803T120742_IFCB114,multiple
32,5,D20210810T023238_IFCB114 D20210810T032000_IFCB114 D20210810T034341_IFCB114 D20210810T051824_IFCB114 D20210810T120255_IFCB114,D20210810T120255_IFCB114,multiple
33,1,D20210817T115208_IFCB114,D20210817T115208_IFCB114,single
34,1,D20210824T115106_IFCB114,D20210824T115106_IFCB114,single
35,1,D20210831T115916_IFCB114,D20210831T115916_IFCB114,single
36,1,D20210907T121019_IFCB114,D20210907T121019_IFCB114,single
37,1,D20210914T115306_IFCB114,D20210914T115306_IFCB114,single
38,1,D20210921T115117_IFCB114,D20210921T115117_IFCB114,single
39,1,D20210928T120619_IFCB114,D20210928T120619_IFCB114,single
40,1,D20211005T115617_IFCB114,D20211005T115617_IFCB114,single
41,0,,,missing
42,0,,,missing
43,1,D20211026T115538_IFCB114,D20211026T115538_IFCB114,single
44,1,D20211102T120611_IFCB114,D20211102T120611_IFCB114,single
45,1,D20211109T115603_IFCB114,D20211109T115603_IFCB114,single
46,1,D20211116T121922_IFCB114,D20211116T121922_IFCB114,single
47,1,D20211123T115459_IFCB114,D20211123T115459_IFCB114,single
48,1,D20211130T115335_IFCB114,D20211130T115335_IFCB114,single
49,1,D20211207T121839_IFCB114,D20211207T121839_IFCB114,single
50,1,D20211214T115350_IFCB114,D20211214T115350_IFCB114,single
51,1,D20211221T120159_IFCB114,D20211221T120159_IFCB114,single
52,1,D20211228T120520_IFCB114,D20211228T120520_IFCB114,single
