model,dataset,n_images,n_extracted_now,seconds,img_per_s,n_corrupt,nan_rows,smoke,batch_size,workers,device,torch
resnet18,train,200,200,4.0,49.9,0,0,True,64,4,mps,2.14.0
resnet18,test,200,200,2.3,88.0,0,0,True,64,4,mps,2.14.0
dinov2_vitb14,train,200,200,8.0,25.0,0,0,True,64,4,mps,2.14.0
dinov2_vitb14,test,200,200,7.7,25.8,0,0,True,64,4,mps,2.14.0
clip_vitb16,train,200,200,7.3,27.4,0,0,True,64,4,mps,2.14.0
clip_vitb16,test,200,200,5.6,35.7,0,0,True,64,4,mps,2.14.0
bioclip2,train,200,200,22.7,8.8,0,0,True,64,4,mps,2.14.0
bioclip2,test,200,200,30.1,6.7,0,0,True,64,4,mps,2.14.0
resnet18,train,63074,63074,329.8,191.3,0,0,False,64,4,mps,2.14.0
resnet18,test,151235,151235,731.0,206.9,0,0,False,64,4,mps,2.14.0
