class,legacy_name,n,random,lag_1,lag_2,lag_5,lag_10,lag_20,lag_50,lag_100,lag_200,lag_500,lag_1000
Aphanizomenon_flosaquae,Aphanizomenon_flosaquae,6989,0.8263711333274841,0.8269715309143066,0.8262155652046204,0.8265911936759949,0.8275597095489502,0.8266410827636719,0.8260390162467957,0.8265398740768433,0.825484573841095,0.8261560797691345,0.827228307723999
Beads,Beads,125,0.9562501311302185,0.9558760523796082,0.9580667018890381,0.9575334191322327,0.957801103591919,0.9563920497894287,0.9570350050926208,0.9548282027244568,,,
Centrales_sp,Centrales_sp,480,0.8243686556816101,0.8207278847694397,0.8243516683578491,0.8228824734687805,0.8271099925041199,0.824665367603302,0.8213966488838196,0.82477867603302,0.8284822702407837,,
Ceratoneis_closterium,Ceratoneis_closterium,45,0.8739355206489563,0.8706851601600647,0.8711808919906616,0.8786671757698059,0.8799375891685486,0.8638439774513245,,,,,
Chaetoceros_sp,Chaetoceros_sp,1382,0.7103185057640076,0.7097322940826416,0.7113905549049377,0.7104731798171997,0.708819568157196,0.711363673210144,0.7110258340835571,0.7106356024742126,0.7078031301498413,0.7104724049568176,0.7122377753257751
Chaetoceros_sp_single,Chaetoceros_similis,46,0.7596037983894348,0.7456528544425964,0.7461961507797241,0.7681523561477661,0.7464632987976074,0.7719767689704895,,,,,
Chaetoceros_sp_single,Chaetoceros_sp,167,0.7961735129356384,0.7987226247787476,0.8002436757087708,0.7964450120925903,0.7992573380470276,0.794373095035553,0.801498293876648,0.7981365919113159,,,
Chlorococcales,Chlorococcales,95,0.8194478154182434,0.8177357316017151,0.8067381381988525,0.8162731528282166,0.8084003329277039,0.8243942856788635,0.8121507167816162,,,,
Chroococcales,Chroococcales,142,0.8251945972442627,0.8244766592979431,0.8283752202987671,0.829136073589325,0.8311769962310791,0.8291515111923218,0.8249075412750244,0.8406058549880981,,,
Chroococcus_small,Chroococcus_small,827,0.8503767251968384,0.851162314414978,0.849520742893219,0.8489841222763062,0.8486059904098511,0.8493413329124451,0.8478977084159851,0.8488436937332153,0.8500091433525085,0.8501774668693542,
Ciliata,Ciliata,93,0.7990062832832336,0.7908328771591187,0.79854816198349,0.8034650683403015,0.7977356314659119,0.8059008717536926,0.7917627692222595,,,,
