class,n,lag1_minus_random,within_minus_across_sample
Aphanizomenon_flosaquae,1849,0.008929729461669922,0.009679138660430908
Chaetoceros_sp,693,0.010487198829650879,0.009526610374450684
Chaetoceros_sp_single,571,0.008593976497650146,0.009074687957763672
Chroococcales,793,0.0032219886779785156,0.008285045623779297
Ciliata,288,0.018518149852752686,0.0142289400100708
Cryptomonadales,525,0.008843660354614258,0.0073549747467041016
Cryptophyceae-Teleaulax,16952,0.008538663387298584,0.010178446769714355
Cyclotella_choctawhatcheeana,199,0.0018981099128723145,0.008969306945800781
Dinophyceae,1562,0.013401627540588379,0.01972222328186035
Dolichospermum-Anabaenopsis,790,0.027941465377807617,0.020993351936340332
Eutreptiella_sp,1678,0.011116206645965576,0.012665808200836182
Gymnodinium_like,102,0.022566676139831543,0.026585757732391357
Heterocapsa_rotundata,2609,0.005116105079650879,0.004412710666656494
Heterocapsa_triquetra,2267,0.004945516586303711,0.00801151990890503
Heterocyte,318,0.014791488647460938,0.018223822116851807
Mesodinium_rubrum,560,0.011192619800567627,0.010027170181274414
Monoraphidium_contortum,439,0.008731424808502197,0.007297873497009277
Oocystis_sp,161,0.005729317665100098,0.010712802410125732
Oscillatoriales,3893,0.00929790735244751,0.010430693626403809
Pennales_sp_thick,1088,0.017974257469177246,0.02536064386367798
Pennales_sp_thin,334,0.039400458335876465,0.056707024574279785
Peridiniella_catenata_single,222,0.011291563510894775,0.012697339057922363
Pseudopedinella_sp,579,0.005354821681976318,0.007418513298034668
Pyramimonas_sp,8422,0.0050803422927856445,0.006178557872772217
Skeletonema_marinoi,7402,0.012651026248931885,0.01786142587661743
Thalassiosira_levanderi,2008,0.008220970630645752,0.007505178451538086
