lag,n_pairs,n_groups,mean_excess,share_groups_positive
1,62935,53,0.00016386991480245975,0.4339622641509434
2,62882,53,-7.329983988933856e-05,0.5471698113207547
5,62723,53,2.9130373929639847e-05,0.5283018867924528
10,62458,53,0.0003223010742369263,0.5283018867924528
20,61928,53,0.0001796079317569548,0.5849056603773585
50,60374,49,-0.0001794727643857429,0.46938775510204084
100,58083,41,0.00046001924943113665,0.5365853658536586
200,54479,30,0.0004093127094085973,0.5333333333333333
500,46620,23,-0.00018576407243335057,0.391304347826087
1000,37645,14,0.00024184730205264822,0.35714285714285715
